ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60642,15,4/5/2020,4/11/2020,8.0,32.0,40.0,158.4,47,187,233,925.7,0.2,0.2,0,0,0.0,0.0,20201,60642-15,POINT (-87.657821 41.899935)
60660,22,5/24/2020,5/30/2020,31.0,366.0,72.0,846.4,340,2029,786,4692.2,0.1,0.2,0,37,0.0,85.6,43242,60660-22,POINT (-87.666362 41.991062)
60654,19,5/3/2020,5/9/2020,5.0,109.0,26.0,569.6,93,505,486,2639.1,0.1,0.2,0,0,0.0,0.0,19135,60654-19,POINT (-87.63635400000001 41.892485)
60641,15,4/5/2020,4/11/2020,88.0,160.0,124.0,225.3,282,650,397,915.2,0.3,0.2,4,6,5.6,8.4,71023,60641-15,POINT (-87.746791 41.946682)
60622,23,5/31/2020,6/6/2020,13.0,538.0,25.0,1019.1,377,3217,714,6093.6,0.0,0.2,1,51,1.9,96.6,52793,60622-23,POINT (-87.681818 41.902762)
60608,20,5/10/2020,5/16/2020,171.0,1243.0,216.0,1569.3,741,4011,936,5064.1,0.2,0.3,4,37,5.1,46.7,79205,60608-20,POINT (-87.670366 41.849879)
60651,18,4/26/2020,5/2/2020,212.0,753.0,335.0,1191.1,714,2231,1129,3529.1,0.3,0.3,6,35,9.5,55.4,63218,60651-18,POINT (-87.741017 41.901964)
60606,15,4/5/2020,4/11/2020,2.0,7.0,64.0,225.7,27,71,871,2289.6,0.1,0.1,0,0,0.0,0.0,3101,60606-15,POINT (-87.63676 41.882634)
60630,25,6/14/2020,6/20/2020,25.0,685.0,44.0,1194.5,452,4618,788,8053.2,0.1,0.1,4,57,7.0,99.4,57344,60630-25,POINT (-87.759611 41.971261)
60621,21,5/17/2020,5/23/2020,41.0,455.0,141.0,1566.7,374,1975,1288,6800.5,0.1,0.2,7,43,24.1,148.1,29042,60621-21,POINT (-87.638812 41.776931)
60656,24,6/7/2020,6/13/2020,9.0,226.0,33.0,819.5,187,2089,678,7574.6,0.0,0.1,0,5,0.0,18.1,27579,60656-24,POINT (-87.817934 41.974566)
60661,23,5/31/2020,6/6/2020,0.0,30.0,0.0,302.2,58,441,584,4442.9,0.0,0.1,0,0,0.0,0.0,9926,60661-23,POINT (-87.644283 41.882786)
60620,23,5/31/2020,6/6/2020,32.0,950.0,47.0,1395.1,438,5878,643,8631.9,0.1,0.2,1,66,1.5,96.9,68096,60620-23,POINT (-87.651656 41.740873)
60641,14,3/29/2020,4/4/2020,39.0,72.0,55.0,101.4,171,368,241,518.1,0.2,0.2,2,2,2.8,2.8,71023,60641-14,POINT (-87.746791 41.946682)
60615,19,5/3/2020,5/9/2020,30.0,255.0,72.0,613.5,281,1462,676,3517.6,0.1,0.2,1,11,2.4,26.5,41563,60615-19,POINT (-87.602725 41.80199300000001)
60660,23,5/31/2020,6/6/2020,19.0,385.0,44.0,890.3,292,2321,675,5367.5,0.1,0.2,0,37,0.0,85.6,43242,60660-23,POINT (-87.666362 41.991062)
60633,16,4/12/2020,4/18/2020,7.0,20.0,54.0,155.4,47,110,365,854.6,0.1,0.2,0,0,0.0,0.0,12871,60633-16,POINT (-87.556037 41.653147)
60630,14,3/29/2020,4/4/2020,35.0,71.0,61.0,123.8,180,399,314,695.8,0.2,0.2,0,2,0.0,3.5,57344,60630-14,POINT (-87.759611 41.971261)
60614,20,5/10/2020,5/16/2020,32.0,430.0,45.0,603.0,477,2471,669,3465.2,0.1,0.2,6,52,8.4,72.9,71308,60614-20,POINT (-87.652064 41.922605)
60707,23,5/31/2020,6/6/2020,13.0,186.0,30.0,432.4,131,1508,304,3505.4,0.1,0.1,0,10,0.0,23.2,43019,60707-23,POINT (-87.808283 41.921777)
60652,19,5/3/2020,5/9/2020,87.0,471.0,198.0,1072.7,383,1759,872,4006.2,0.2,0.3,0,12,0.0,27.3,43907,60652-19,POINT (-87.714238 41.745398)
60636,21,5/17/2020,5/23/2020,50.0,569.0,155.0,1766.9,389,2052,1208,6372.1,0.1,0.3,1,42,3.1,130.4,32203,60636-21,POINT (-87.668597 41.77599)
60643,20,5/10/2020,5/16/2020,32.0,530.0,64.0,1062.8,393,2944,788,5903.3,0.1,0.2,3,43,6.0,86.2,49870,60643-20,POINT (-87.662381 41.700445)
60605,18,4/26/2020,5/2/2020,11.0,116.0,40.0,421.5,156,698,567,2536.4,0.1,0.2,1,1,3.6,3.6,27519,60605-18,POINT (-87.623449 41.867824)
60625,18,4/26/2020,5/2/2020,212.0,632.0,268.0,797.5,751,2153,948,2717.0,0.3,0.3,15,40,18.9,50.5,79243,60625-18,POINT (-87.701816 41.971155)
60610,20,5/10/2020,5/16/2020,25.0,191.0,64.0,489.5,347,1382,889,3541.9,0.1,0.1,0,4,0.0,10.3,39019,60610-20,POINT (-87.63581 41.90455)
60633,21,5/17/2020,5/23/2020,11.0,71.0,86.0,551.6,93,493,723,3830.3,0.1,0.1,0,2,0.0,15.5,12871,60633-21,POINT (-87.556037 41.653147)
60638,16,4/12/2020,4/18/2020,71.0,207.0,121.0,352.1,309,931,526,1583.4,0.2,0.2,3,6,5.1,10.2,58797,60638-16,POINT (-87.771902 41.787032)
